date,category,id
1475424767243,poi,mother
1475424769101,entry,2172
1475424770366,entry,4030
1475424774040,entry,211
1475424778320,entry,4030
1475424780555,entry,2172
1475424783797,entry,4040
1475424787086,entry,4025
1475424790326,entry,211
1475424794103,entry,4037
1475424797176,entry,4013
1475424799764,entry,2615
1475424802643,poi,min_3
1475424802891,poi,min_3
1475424805029,entry,4034
1475424807985,entry,2008
1475424810538,entry,4014
1475424813779,entry,4025
1475424816156,entry,211
1475424823066,entry,2615
1475424823968,entry,4013
1475424825124,entry,4026
1475424825805,entry,4037
1475424834056,poi,daugther
1475424838569,poi,daugther
1475424838744,poi,daugther
1475424839732,poi,daugther
1475424843821,entry,4007
1475424852859,entry,3757
1475499468412,entry,4007
1475588461284,poi,son1
1475588468299,entry,1107
1475588473795,entry,2238
1475588486200,poi,daugther
1475588498657,entry,204
1475588504523,poi,meryre
1475588514441,entry,1107
1475588521007,poi,daugther
1475588533274,entry,4036
1475588541682,entry,4007
1475588543898,entry,4036
1475588547352,entry,3574
1475588553745,poi,mother
1475588557101,entry,204
1475588559760,poi,daugther
1475588561425,entry,2615
1475588565016,entry,4028
1475588571471,entry,558
1475588577053,entry,558
1475588577295,entry,4007
1475588580802,entry,2008
1475588586481,entry,4013
1475588591140,entry,4013
1475588591744,entry,2615
1475588592161,entry,2615
1475588598783,entry,1579
1475588600079,entry,1006
1475588600534,entry,3757
1475588600947,entry,3757
1475588602637,poi,mother
1475588606189,entry,3574
1475588607862,entry,4020
1475588608128,entry,2008
1475588608795,entry,4020
1475588609300,entry,4020
1475588609680,entry,4021
1475588609862,poi,daugther
1475588618436,entry,4037
1475588618768,entry,4026
1475588619254,entry,4026
1475588619602,entry,4025
1475588620220,entry,2615
1475588620538,entry,4013
1475588620925,entry,2172
1475588621489,entry,204
1475588622044,entry,4026
1475588623737,entry,4026
1475588626385,entry,4025
1475588629394,entry,4025
1475588630966,entry,4025
1475588631644,entry,4026
1475588634891,entry,211
1475588640463,poi,mother
1475588651070,entry,211
1475588652843,entry,3574
1475588653212,entry,3574
1475588653745,poi,pepy_1
1475588664950,poi,meryre
1475588665151,poi,meryre
1475588666073,poi,meryre
1475588680402,poi,pepy_2
1475588684268,poi,pepy_2
1475588686305,poi,pepy_2
1475588687388,poi,pepy_2
1475588689107,poi,pepy_2
1475588701205,entry,1579
1475588701841,entry,4013
1475588702471,entry,2615
1475588703204,entry,2615
1475588703708,entry,482
1475588707184,poi,father
1475588708272,poi,father
1475588710811,poi,mother
